URN,LA (code),LA (name),EstablishmentNumber,EstablishmentName,TypeOfEstablishment (name),EstablishmentTypeGroup (name),EstablishmentStatus (name),OpenDate,CloseDate,PhaseOfEducation (name),StatutoryLowAge,StatutoryHighAge,SchoolCapacity,NumberOfPupils,NumberOfBoys,NumberOfGirls,PercentageFSM,Trusts (name),FederationFlag (name),Federations (name),UKPRN,GOR (name),UrbanRural (name),GSSLACode (name),Easting,Northing,UPRN
108639,392,North Tyneside,4030,George Stephenson High School,Foundation school,Local authority maintained schools,Open,,,Secondary,11,18,1227,1201,620,581,13.8,The North Tyneside Learning Trust,Not under a federation,,10002665,North East,(England/Wales) Urban major conurbation,E08000022,427764,571048,47083744
108640,392,North Tyneside,4032,Burnside College,Foundation school,Local authority maintained schools,Open,,,Secondary,11,18,1266,1045,537,508,23.5,The North Tyneside Learning Trust,Not under a federation,,10009543,North East,(England/Wales) Urban major conurbation,E08000022,430808,566795,47222835
108641,392,North Tyneside,4033,Churchill Community College,Foundation school,Local authority maintained schools,Open,,,Secondary,11,18,1022,968,491,477,27,The North Tyneside Learning Trust,Not under a federation,,10001429,North East,(England/Wales) Urban major conurbation,E08000022,431626,567942,47022880
108642,392,North Tyneside,4034,Monkseaton  High School,Foundation school,Local authority maintained schools,Open,,,Secondary,13,18,955,485,226,259,24.2,The North Tyneside Learning Trust,Not under a federation,,10004419,North East,(England/Wales) Urban major conurbation,E08000022,434347,570898,47028445
108644,392,North Tyneside,4038,John Spence Community High School,Foundation school,Local authority maintained schools,Open,,,Secondary,11,16,885,850,451,399,42.1,The North Tyneside Learning Trust,Not under a federation,,10003503,North East,(England/Wales) Urban major conurbation,E08000022,435165,569896,47072214
108645,392,North Tyneside,4039,Longbenton High School,Foundation school,Local authority maintained schools,Open,,,Secondary,11,18,1105,825,410,415,23.5,The North Tyneside Learning Trust,Not under a federation,,10004089,North East,(England/Wales) Urban major conurbation,E08000022,427327,569417,47042904
108649,392,North Tyneside,5400,Wellfield Middle School,Community school,Local authority maintained schools,Open,,,Middle deemed secondary,9,13,310,333,179,154,9.9,,Not under a federation,,10018747,North East,(England/Wales) Urban major conurbation,E08000022,432639,572006,47067886
108652,392,North Tyneside,7001,Woodlawn School,Foundation special school,Special schools,Open,,,Not applicable,2,18,,111,69,42,26.6,The North Tyneside Learning Trust,Not under a federation,,10015148,North East,(England/Wales) Urban major conurbation,E08000022,433787,571369,47054100
108653,392,North Tyneside,7002,Southlands School,Foundation special school,Special schools,Open,,,Not applicable,11,16,161,123,72,51,53.3,The North Tyneside Learning Trust,Not under a federation,,10017799,North East,(England/Wales) Urban major conurbation,E08000022,435455,569984,47007096
108655,392,North Tyneside,7004,Benton Dene School,Foundation special school,Special schools,Open,,,Not applicable,3,11,,119,98,21,44.1,The North Tyneside Learning Trust,Not under a federation,,10077003,North East,(England/Wales) Urban major conurbation,E08000022,427400,569548,47234321
108661,393,South Tyneside,1010,Clervaux Nursery School,Local authority nursery school,Local authority maintained schools,Open,,,Nursery,2,5,,88,41,47,0,,Supported by a federation,The Early Years Nursery School Alliance,,North East,(England/Wales) Urban major conurbation,E08000023,433104,564764,1.00E+11
108663,393,South Tyneside,1016,Helen Gibson Nursery School,Local authority nursery school,Local authority maintained schools,Open,,,Nursery,2,4,,89,50,39,0,,Supported by a federation,The Early Years Nursery School Alliance,,North East,(England/Wales) Urban major conurbation,E08000023,436475,561480,1.00E+11
108665,393,South Tyneside,1018,Boldon Nursery School,Local authority nursery school,Local authority maintained schools,Open,,,Nursery,2,5,,86,52,34,0,,Not under a federation,,,North East,(England/Wales) Urban major conurbation,E08000023,434829,561639,2.00E+11
108666,393,South Tyneside,1100,Alternative Education Service - The Beacon Centre,Pupil referral unit,Local authority maintained schools,Open,01/04/1994,,Not applicable,4,16,,64,39,25,51.6,,Not applicable,,10016922,North East,(England/Wales) Urban major conurbation,E08000023,436477,564911,2.00E+11
108668,393,South Tyneside,2000,Hadrian Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,280,278,141,137,23.1,,Not under a federation,,10072198,North East,(England/Wales) Urban major conurbation,E08000023,436381,567833,2.00E+11
108672,393,South Tyneside,2015,Laygate Community School,Community school,Local authority maintained schools,Open,,,Primary,3,11,294,261,131,130,58.4,,Not under a federation,,10072197,North East,(England/Wales) Urban major conurbation,E08000023,436401,566047,2.00E+11
108673,393,South Tyneside,2017,Mortimer Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,575,609,304,305,10.1,,Not under a federation,,10072196,North East,(England/Wales) Urban major conurbation,E08000023,436916,565267,2.00E+11
108675,393,South Tyneside,2020,Marine Park Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,238,215,109,106,38.8,,Supported by a federation,Blue Skies,10072195,North East,(England/Wales) Urban major conurbation,E08000023,436787,567157,2.00E+11
108676,393,South Tyneside,2023,Stanhope Primary School,Community school,Local authority maintained schools,Open,,,Primary,5,11,210,234,115,119,58.2,,Not under a federation,,10078375,North East,(England/Wales) Urban major conurbation,E08000023,436108,565020,2.00E+11
108678,393,South Tyneside,2028,Biddick Hall Junior School,Community school,Local authority maintained schools,Open,,,Primary,7,11,240,200,100,100,47,,Not under a federation,,10079873,North East,(England/Wales) Urban major conurbation,E08000023,435644,563547,2.00E+11
108682,393,South Tyneside,2033,Biddick Hall Infants' School,Community school,Local authority maintained schools,Open,,,Primary,3,7,180,235,104,131,49.2,,Not under a federation,,10070884,North East,(England/Wales) Urban major conurbation,E08000023,435416,563098,1.00E+11
108685,393,South Tyneside,2038,Ashley Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,384,466,236,230,30.4,,Not under a federation,,10072194,North East,(England/Wales) Urban major conurbation,E08000023,436477,564911,2.00E+11
108686,393,South Tyneside,2040,Hedworth Lane Primary School,Community school,Local authority maintained schools,Open,,,Primary,4,11,315,291,147,144,19.9,,Not under a federation,,10069021,North East,(England/Wales) Urban major conurbation,E08000023,433954,562067,2.00E+11
108687,393,South Tyneside,2042,Marsden Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,210,241,126,115,23.7,,Not under a federation,,10072193,North East,(England/Wales) Urban city and town,E08000023,440624,563161,2.00E+11
108688,393,South Tyneside,2043,East Boldon Infants' School,Community school,Local authority maintained schools,Open,,,Primary,5,7,180,179,93,86,6.1,,Not under a federation,,10070883,North East,(England/Wales) Urban major conurbation,E08000023,436533,561232,103000709
108692,393,South Tyneside,2050,East Boldon Junior School,Community school,Local authority maintained schools,Open,,,Primary,7,11,241,241,113,128,6.6,,Not under a federation,,10079872,North East,(England/Wales) Urban major conurbation,E08000023,436491,561377,1.00E+11
108693,393,South Tyneside,2055,Bede Burn Primary School,Community school,Local authority maintained schools,Open,,,Primary,4,11,210,208,112,96,9.1,,Not under a federation,,10078374,North East,(England/Wales) Urban major conurbation,E08000023,432296,563675,1.00E+11
108694,393,South Tyneside,2056,Valley View Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,289,261,129,132,18.4,,Not under a federation,,10072192,North East,(England/Wales) Urban major conurbation,E08000023,432805,563634,2.00E+11
108695,393,South Tyneside,2063,Dunn Street Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,150,135,84,51,59.2,,Not under a federation,,10072191,North East,(England/Wales) Urban major conurbation,E08000023,433160,565366,103005967
108698,393,South Tyneside,2073,Simonside Primary School,Community school,Local authority maintained schools,Open,,,Primary,4,11,420,236,118,118,39,,Not under a federation,,10077327,North East,(England/Wales) Urban major conurbation,E08000023,434001,563542,2.00E+11
108699,393,South Tyneside,2075,Hedworthfield Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,210,219,116,103,37.9,,Not under a federation,,10077170,North East,(England/Wales) Urban major conurbation,E08000023,433554,562273,2.00E+11
108700,393,South Tyneside,2076,Lord Blyton Primary School,Community school,Local authority maintained schools,Open,,,Primary,4,11,236,247,127,120,23.9,,Not under a federation,,10069020,North East,(England/Wales) Urban major conurbation,E08000023,434903,564092,2.00E+11
108701,393,South Tyneside,2080,West Boldon Primary School,Community school,Local authority maintained schools,Open,,,Primary,4,11,315,281,146,135,43.4,,Not under a federation,,10069019,North East,(England/Wales) Urban major conurbation,E08000023,435443,561483,2.00E+11
108704,393,South Tyneside,2083,Toner Avenue Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,360,369,180,189,34.6,,Not under a federation,,10068940,North East,(England/Wales) Urban major conurbation,E08000023,430837,563239,2.00E+11
108706,393,South Tyneside,2085,Fellgate Primary School,Community school,Local authority maintained schools,Open,,,Primary,4,11,204,167,101,66,34.1,,Not under a federation,,10077326,North East,(England/Wales) Urban major conurbation,E08000023,432749,562206,2.00E+11
108711,393,South Tyneside,3006,St Oswald's CofE Aided Primary School,Voluntary aided school,Local authority maintained schools,Open,,,Primary,5,11,210,210,111,99,22.9,,Not under a federation,,10071359,North East,(England/Wales) Urban major conurbation,E08000023,431931,565197,2.00E+11
108716,393,South Tyneside,3303,St Gregory's RC Voluntary Aided Primary School,Voluntary aided school,Local authority maintained schools,Open,,,Primary,4,11,210,213,108,105,9.9,,Not under a federation,,10074436,North East,(England/Wales) Urban major conurbation,E08000023,438184,565368,2.00E+11
108718,393,South Tyneside,3305,St Oswald's RC Voluntary Aided Primary School,Voluntary aided school,Local authority maintained schools,Open,,,Primary,3,11,210,232,103,129,24.3,,Not under a federation,,10078164,North East,(England/Wales) Urban major conurbation,E08000023,436744,563255,2.00E+11
108721,393,South Tyneside,3311,St Matthew's RC Voluntary Aided Primary School,Voluntary aided school,Local authority maintained schools,Open,,,Primary,4,11,210,203,100,103,10.3,,Not under a federation,,10074433,North East,(England/Wales) Urban major conurbation,E08000023,432525,562929,2.00E+11
108723,393,South Tyneside,3313,St James' RC Voluntary Aided Primary School,Voluntary aided school,Local authority maintained schools,Open,,,Primary,4,11,210,209,102,107,19.1,,Not under a federation,,10074431,North East,(England/Wales) Urban major conurbation,E08000023,431552,563638,2.00E+11
108725,393,South Tyneside,3315,St Bede's RC Primary School Jarrow,Voluntary aided school,Local authority maintained schools,Open,,,Primary,3,11,210,208,100,108,25.7,,Not under a federation,,10074429,North East,(England/Wales) Urban major conurbation,E08000023,433120,565065,2.00E+11
108727,393,South Tyneside,4006,Mortimer Community College,Community school,Local authority maintained schools,Open,,,Secondary,11,16,1085,1031,495,536,39.9,,Not under a federation,,10016610,North East,(England/Wales) Urban major conurbation,E08000023,436817,565329,1.00E+11
108730,393,South Tyneside,4019,Boldon School,Community school,Local authority maintained schools,Open,,,Secondary,11,16,1100,786,388,398,33.2,,Not under a federation,,10014889,North East,(England/Wales) Urban major conurbation,E08000023,435542,561893,103006191
108731,393,South Tyneside,4026,Hebburn Comprehensive School,Community school,Local authority maintained schools,Open,,,Secondary,11,16,1186,733,380,353,32.2,,Not under a federation,,10015901,North East,(England/Wales) Urban major conurbation,E08000023,431311,563763,1.00E+11
108738,393,South Tyneside,7000,Bamburgh School,Community special school,Special schools,Open,,,Not applicable,3,16,,199,145,54,57.3,,Not under a federation,,10014898,North East,(England/Wales) Urban major conurbation,E08000023,438415,565759,103005846
108741,393,South Tyneside,7004,Epinay Business and Enterprise School,Foundation special school,Special schools,Open,,,Not applicable,4,18,,171,113,58,54.5,The Bede Co-operative Learning Trust,Not under a federation,,10015619,North East,(England/Wales) Urban major conurbation,E08000023,433140,564723,2.00E+11
108746,394,Sunderland,1003,Houghton Le Spring Nursery School,Local authority nursery school,Local authority maintained schools,Open,,,Nursery,3,5,,123,68,55,0,,Not under a federation,,,North East,(England/Wales) Urban major conurbation,E08000024,434457,549874,45081837
108747,394,Sunderland,1005,Hetton-le-Hole Nursery School,Local authority nursery school,Local authority maintained schools,Open,,,Nursery,0,5,,55,27,28,2.5,,Not under a federation,,,North East,(England/Wales) Urban major conurbation,E08000024,435467,547620,45071509
108748,394,Sunderland,1006,Hylton Red House Nursery School,Local authority nursery school,Local authority maintained schools,Open,,,Nursery,2,5,,129,64,65,0,,Not under a federation,,,North East,(England/Wales) Urban major conurbation,E08000024,436637,558811,45088585
108749,394,Sunderland,1007,Usworth Colliery Nursery School,Local authority nursery school,Local authority maintained schools,Open,,,Nursery,2,5,,98,46,52,0,,Not under a federation,,,North East,(England/Wales) Urban major conurbation,E08000024,431192,558025,45045207
108750,394,Sunderland,1008,Hetton Lyons Nursery School,Local authority nursery school,Local authority maintained schools,Open,,,Nursery,1,4,,84,38,46,0,,Not under a federation,,,North East,(England/Wales) Urban major conurbation,E08000024,435317,546811,45012412
108751,394,Sunderland,1009,Oxclose Nursery School,Local authority nursery school,Local authority maintained schools,Open,,,Nursery,2,4,,92,50,42,0,,Not under a federation,,,North East,(England/Wales) Urban major conurbation,E08000024,429348,555967,45086649
108752,394,Sunderland,1011,Mill Hill Nursery School,Local authority nursery school,Local authority maintained schools,Open,,,Nursery,2,5,,121,56,65,0,,Not under a federation,,,North East,(England/Wales) Urban major conurbation,E08000024,438242,552474,45127176
108753,394,Sunderland,1012,Pennywell Early Years Centre,Local authority nursery school,Local authority maintained schools,Open,01/01/1900,,Nursery,2,5,,138,65,73,0,,Not under a federation,,,North East,(England/Wales) Urban major conurbation,E08000024,435777,556131,45038558
108755,394,Sunderland,2002,Barnes Junior School,Community school,Local authority maintained schools,Open,,,Primary,7,11,360,346,186,160,18.8,,Not under a federation,,10079871,North East,(England/Wales) Urban major conurbation,E08000024,437891,555940,45144547
108757,394,Sunderland,2004,Broadway Junior School,Community school,Local authority maintained schools,Open,,,Primary,7,11,270,238,128,110,35.7,,Not under a federation,,10079870,North East,(England/Wales) Urban major conurbation,E08000024,436750,555662,45075192
108758,394,Sunderland,2010,Grangetown Primary School,Community school,Local authority maintained schools,Open,,,Primary,2,11,295,306,156,150,43.8,,Not under a federation,,10068939,North East,(England/Wales) Urban major conurbation,E08000024,440806,555086,45075296
108763,394,Sunderland,2019,Fulwell Junior School,Community school,Local authority maintained schools,Open,,,Primary,7,11,360,348,180,168,9.2,,Not under a federation,,10079869,North East,(England/Wales) Urban major conurbation,E08000024,440111,559785,45033957
108765,394,Sunderland,2021,Grange Park Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,249,217,119,98,33.2,,Not under a federation,,10068938,North East,(England/Wales) Urban major conurbation,E08000024,439253,558514,45073904
108766,394,Sunderland,2026,Grindon Infant School,Community school,Local authority maintained schools,Open,,,Primary,2,7,232,214,128,86,23.4,,Not under a federation,,10069769,North East,(England/Wales) Urban major conurbation,E08000024,435530,554952,45010790
108769,394,Sunderland,2035,Southwick  Community Primary School,Community school,Local authority maintained schools,Open,,,Primary,2,11,390,433,224,209,54.8,,Not under a federation,,10078373,North East,(England/Wales) Urban major conurbation,E08000024,438559,558882,45147780
108772,394,Sunderland,2042,Hudson Road Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,283,304,149,155,39.5,,Not under a federation,,10068937,North East,(England/Wales) Urban major conurbation,E08000024,440235,556709,45071269
108776,394,Sunderland,2070,Dame Dorothy Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,210,212,104,108,23.9,,Not under a federation,,10068936,North East,(England/Wales) Urban major conurbation,E08000024,440165,557953,45072675
108783,394,Sunderland,2088,Willow Fields Community Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,140,164,82,82,62.3,,Not under a federation,,10068935,North East,(England/Wales) Urban major conurbation,E08000024,437572,559568,45084419
108784,394,Sunderland,2089,Mill Hill Primary School,Community school,Local authority maintained schools,Open,,,Primary,5,11,420,403,173,230,12.4,,Not under a federation,,10078372,North East,(England/Wales) Urban major conurbation,E08000024,438226,552521,45142243
108786,394,Sunderland,2092,Seaburn Dene Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,240,206,107,99,10,,Not under a federation,,10077169,North East,(England/Wales) Urban major conurbation,E08000024,439491,560291,45072677
108787,394,Sunderland,2093,Ryhope Junior School,Community school,Local authority maintained schools,Open,,,Primary,7,11,240,218,106,112,36.2,,Not under a federation,,10079868,North East,(England/Wales) Urban major conurbation,E08000024,440447,553203,45089285
108792,394,Sunderland,2099,Castletown Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,378,401,200,201,23.3,,Not under a federation,,10068934,North East,(England/Wales) Urban major conurbation,E08000024,435706,557929,45053005
108794,394,Sunderland,2104,East Rainton Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,136,116,50,66,23.2,,Not under a federation,,10068933,North East,(England/Wales) Rural town and fringe,E08000024,433392,547755,45076791
108795,394,Sunderland,2105,Easington Lane Primary School,Community school,Local authority maintained schools,Open,,,Primary,2,11,315,315,167,148,44.6,,Not under a federation,,10078371,North East,(England/Wales) Urban major conurbation,E08000024,436541,545971,45028561
108799,394,Sunderland,2115,Usworth Colliery Primary School,Community school,Local authority maintained schools,Open,,,Primary,4,11,420,377,213,164,31.8,,Not under a federation,,10077325,North East,(England/Wales) Urban major conurbation,E08000024,431192,558025,45045206
108800,394,Sunderland,2117,Springwell Village Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,235,215,108,107,10,,Not under a federation,,10068932,North East,(England/Wales) Urban major conurbation,E08000024,428766,558252,45075169
108803,394,Sunderland,2126,Hetton Primary School,Community school,Local authority maintained schools,Open,,,Primary,4,11,140,145,78,67,40.7,,Not under a federation,,10069018,North East,(England/Wales) Urban major conurbation,E08000024,434892,547070,45040159
108816,394,Sunderland,2153,Biddick Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,336,328,170,158,8.6,,Not under a federation,,10068931,North East,(England/Wales) Urban major conurbation,E08000024,430672,555791,45047660
108817,394,Sunderland,2157,Lambton Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,210,233,114,119,16.6,,Not under a federation,,10068930,North East,(England/Wales) Urban major conurbation,E08000024,429572,555245,45004766
108818,394,Sunderland,2158,Rickleton Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,420,460,240,220,10.6,,Not under a federation,,10068929,North East,(England/Wales) Urban major conurbation,E08000024,428878,553783,45071421
108819,394,Sunderland,2159,Richard Avenue Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,480,440,247,193,27,,Not under a federation,,10068928,North East,(England/Wales) Urban major conurbation,E08000024,438472,555731,45079402
108822,394,Sunderland,2167,Marlborough Primary School,Community school,Local authority maintained schools,Open,,,Primary,2,11,210,194,103,91,56.5,,Not under a federation,,10078370,North East,(England/Wales) Urban major conurbation,E08000024,431744,558025,45041220
108826,394,Sunderland,2171,Shiney Row Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,315,241,120,121,32.1,,Not under a federation,,10078369,North East,(England/Wales) Urban major conurbation,E08000024,432703,552524,45075477
108828,394,Sunderland,2174,Thorney Close Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,315,244,114,130,38,,Not under a federation,,10077168,North East,(England/Wales) Urban major conurbation,E08000024,436845,554436,45029979
108830,394,Sunderland,2176,Bernard Gilpin Primary School,Community school,Local authority maintained schools,Open,,,Primary,5,11,400,419,208,211,20,,Not under a federation,,10078368,North East,(England/Wales) Urban major conurbation,E08000024,434347,549628,45052146
108832,394,Sunderland,2178,Hylton Castle Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,240,229,113,116,36.4,,Not under a federation,,10068927,North East,(England/Wales) Urban major conurbation,E08000024,434978,558924,
108833,394,Sunderland,2179,Blackfell Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,246,204,95,109,24.1,,Not under a federation,,10068926,North East,(England/Wales) Urban major conurbation,E08000024,429091,556627,45132290
108835,394,Sunderland,2181,Barmston Village Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,210,233,115,118,42.9,,Not under a federation,,10068925,North East,(England/Wales) Urban major conurbation,E08000024,431643,556380,45066446
108836,394,Sunderland,3005,St Paul's CofE Primary School,Voluntary controlled school,Local authority maintained schools,Open,,,Primary,4,11,250,250,129,121,9.4,,Not under a federation,,10075786,North East,(England/Wales) Urban major conurbation,E08000024,440593,552570,45093270
108837,394,Sunderland,3301,St Benet's Roman Catholic Voluntary Aided Primary School,Voluntary aided school,Local authority maintained schools,Open,,,Primary,3,11,315,347,150,197,5.2,,Not under a federation,,10074428,North East,(England/Wales) Urban major conurbation,E08000024,439889,558943,45054362
108838,394,Sunderland,3302,St Cuthbert's Roman Catholic Voluntary Aided Primary School,Voluntary aided school,Local authority maintained schools,Open,,,Primary,3,11,210,250,111,139,14.6,,Not under a federation,,10074427,North East,(England/Wales) Urban major conurbation,E08000024,436549,555385,45052468
108840,394,Sunderland,3306,St Mary's Roman Catholic Voluntary Aided Primary School,Voluntary aided school,Local authority maintained schools,Open,,,Primary,3,11,420,465,215,250,10.4,,Not under a federation,,10074426,North East,(England/Wales) Urban major conurbation,E08000024,438795,555736,45083513
108841,394,Sunderland,3308,St Joseph's Roman Catholic Voluntary Aided Primary School Sunderland,Voluntary aided school,Local authority maintained schools,Open,,,Primary,2,11,310,265,113,152,5.6,,Not under a federation,,10074425,North East,(England/Wales) Urban major conurbation,E08000024,437963,557136,45078006
108842,394,Sunderland,3313,English Martyrs' Roman Catholic Voluntary Aided Primary School,Voluntary aided school,Local authority maintained schools,Open,,,Primary,3,11,210,219,111,108,30.5,,Not under a federation,,10074424,North East,(England/Wales) Urban major conurbation,E08000024,437488,559003,45079674
108843,394,Sunderland,3315,St Anne's Roman Catholic Voluntary Aided Primary School,Voluntary aided school,Local authority maintained schools,Open,,,Primary,3,11,210,237,110,127,15.6,,Not under a federation,,10074423,North East,(England/Wales) Urban major conurbation,E08000024,435879,556347,45048845
108844,394,Sunderland,3316,St John Bosco Roman Catholic Voluntary Aided Primary School,Voluntary aided school,Local authority maintained schools,Open,,,Primary,3,11,189,222,114,108,23.4,,Not under a federation,,10074422,North East,(England/Wales) Urban major conurbation,E08000024,435271,559781,45064516
108862,394,Sunderland,4059,Hetton School,Community school,Local authority maintained schools,Open,,,Secondary,11,16,900,556,296,260,32.6,,Not under a federation,,10015779,North East,(England/Wales) Urban major conurbation,E08000024,434747,547160,45044750
108882,394,Sunderland,7016,Sunningdale School,Community special school,Special schools,Open,,,Not applicable,2,11,,117,72,45,60.7,,Not under a federation,,10018663,North East,(England/Wales) Urban major conurbation,E08000024,437068,554948,45076370
109302,840,County Durham,3518,Woodham Burn Community Primary School,Community school,Local authority maintained schools,Open,01/09/2006,,Primary,2,11,330,226,110,116,42,,Not under a federation,,10078237,North East,(England/Wales) Urban city and town,E06000047,427163,525205,1.00E+11
111520,807,Redcar and Cleveland,1100,Archway,Pupil referral unit,Local authority maintained schools,Open,,,Not applicable,5,16,,109,77,32,62.4,,Not applicable,,10016643,North East,(England/Wales) Urban city and town,E06000003,453996,519033,10034518946
111523,808,Stockton-on-Tees,2004,High Clarence Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,105,90,49,41,45.9,,Not under a federation,,10068856,North East,(England/Wales) Urban city and town,E06000004,449486,521976,10023174158
111524,808,Stockton-on-Tees,2005,Billingham South Community Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,486,460,244,216,23.3,,Not under a federation,,10077152,North East,(England/Wales) Urban city and town,E06000004,446226,522634,1.00E+11
111531,807,Redcar and Cleveland,2016,Lingdale Primary School,Foundation school,Local authority maintained schools,Open,,,Primary,2,11,129,101,41,60,55.3,The East Cleveland Co-operative Learning Trust,Not under a federation,,10069365,North East,(England/Wales) Rural town and fringe,E06000003,467208,516137,10034524750
111533,807,Redcar and Cleveland,2018,Lockwood Primary School,Foundation school,Local authority maintained schools,Open,,,Primary,3,11,201,203,100,103,13,The East Cleveland Co-operative Learning Trust,Not under a federation,,10069364,North East,(England/Wales) Rural town and fringe,E06000003,465844,516772,10034526665
111539,808,Stockton-on-Tees,2030,Mill Lane Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,255,218,114,104,56.2,,Not under a federation,,10077151,North East,(England/Wales) Urban city and town,E06000004,444212,519182,1.00E+11
111540,808,Stockton-on-Tees,2032,Bowesfield Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,300,291,154,137,40.2,,Not under a federation,,10068854,North East,(England/Wales) Urban city and town,E06000004,444045,518290,
111549,808,Stockton-on-Tees,2056,Whitehouse Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,422,418,238,180,12.6,,Not under a federation,,10077150,North East,(England/Wales) Urban city and town,E06000004,442539,520044,1.00E+11
111550,808,Stockton-on-Tees,2057,The Glebe Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,437,432,232,200,19.7,,Not under a federation,,10068853,North East,(England/Wales) Urban city and town,E06000004,443615,521607,1.00E+11
111562,808,Stockton-on-Tees,2080,Durham Lane Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,210,195,96,99,9.3,,Not under a federation,,10077149,North East,(England/Wales) Urban city and town,E06000004,441420,514175,2.00E+11
111577,806,Middlesbrough,2120,Beech Grove Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,342,453,245,208,60.3,,Not under a federation,,10077148,North East,(England/Wales) Urban city and town,E06000002,450207,517961,1.00E+11
111580,806,Middlesbrough,2124,Newport Primary School,Foundation school,Local authority maintained schools,Open,,,Primary,3,11,336,351,182,169,55.2,,Not under a federation,,10069363,North East,(England/Wales) Urban city and town,E06000002,448768,519850,1.00E+11
111581,805,Hartlepool,2126,Golden Flatts Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,177,141,69,72,45.8,,Supported by a federation,Federation of Golden Flatts and Lynnfield Primary Schools,10077147,North East,(England/Wales) Urban city and town,E06000001,450945,529509,1.00E+11
111585,806,Middlesbrough,2138,Newham Bridge Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,270,320,160,160,45.3,,Not under a federation,,10068851,North East,(England/Wales) Urban city and town,E06000002,449348,517007,1.00E+11
111586,806,Middlesbrough,2139,Acklam Whin Primary School,Foundation school,Local authority maintained schools,Open,,,Primary,3,11,420,496,235,261,10.3,,Not under a federation,,10069362,North East,(England/Wales) Urban city and town,E06000002,447984,515853,1.00E+11
111587,806,Middlesbrough,2141,Breckon Hill Primary School,Foundation school,Local authority maintained schools,Open,,,Primary,2,11,625,601,310,291,27.2,,Not under a federation,,10069361,North East,(England/Wales) Urban city and town,E06000002,450422,519583,1.00E+11
111590,805,Hartlepool,2153,Lynnfield Primary School,Community school,Local authority maintained schools,Open,,,Primary,2,11,385,358,168,190,60.5,,Supported by a federation,Federation of Golden Flatts and Lynnfield Primary Schools,10077285,North East,(England/Wales) Urban city and town,E06000001,450377,532759,1.00E+11
111600,805,Hartlepool,2187,Fens Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,480,467,240,227,15.4,,Not under a federation,,10077146,North East,(England/Wales) Urban city and town,E06000001,449550,528934,1.00E+11
111601,805,Hartlepool,2189,Kingsley Primary School,Community school,Local authority maintained schools,Open,,,Primary,2,11,420,499,282,217,32.6,,Not under a federation,,10077145,North East,(England/Wales) Urban city and town,E06000001,449632,531003,1.00E+11
111605,805,Hartlepool,2211,St Helen's Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,240,321,161,160,46.7,,Not under a federation,,10077144,North East,(England/Wales) Urban city and town,E06000001,452513,534247,1.00E+11
111612,805,Hartlepool,2236,Throston Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,420,488,242,246,16.1,,Not under a federation,,10077143,North East,(England/Wales) Urban city and town,E06000001,449163,533825,1.00E+11
111614,805,Hartlepool,2238,Clavering Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,401,394,189,205,15.6,,Not under a federation,,10077142,North East,(England/Wales) Urban city and town,E06000001,448461,535265,1.00E+11
